Zone Number,Zone Name,Defense Time
אילת 311,"אילת,אילות",30 שניות
אשדוד 266,"כפר הנגיד,יבנה,גאליה",דקה
אשדוד 267,"בניה,צופיה,בית גמליאל,כפר אביב,משגב דב,בית רבן,קבוצת יבנה,כרם יבנה,בן זכאי,עשרת,מישר,שדמה,כפר מרדכי",דקה
אשדוד 268,"גדרה,בני ראם,גני טל,בית אלעזרי,קדרון,בית חלקיה,חפץ חיים,יד בנימין,רבדים,ברורים",דקה
אשדוד 271,"ניר גלים,עד הלום,נווה הרצוג,אשדוד,בני דרום",45 שניות
אשדוד 272,"בית עזרא,שתולים,גבעתי,עזר,אמונים,שדה עוזיהו,עזריקם",45 שניות
אשדוד 273,"ביצרון,גן הדרום,גן יבנה,בני עי""ש,חצור אשדוד,נווה מבטח,חצב,כנות",דקה
אשדוד 275,"ינון,אל עזי,קרית מלאכי,כפר ורבורג,כפר הרי""ף,כפר מנחם,אורות,אחווה,ערוגות,כפר אחים,אביגדור,תימורים,באר טוביה,תלמי יחיאל",דקה
אשדוד 276,"שפיר,משואות יצחק,מרכז שפירא,עין צורים",45 שניות
אשדוד 278,"כפר זוהרים,נחושה,גפן,שריגים,תירוש,צפרירים,זכריה,לוזית,עגור,גבעת ישעיהו,שדות מיכה",דקה
אשדוד 280,"ניר בנים,סגולה,אלומה,קדמה,קוממיות,רווחה,זרחיה,נחלה,זבדיאל,מנוחה,ורדון",45 שניות
אשדוד 281,"מבחור,איתן,אחוזם,נועם,גת,עוזה,שלווה,שדה משה,קרית גת,אבן שמואל",45 שניות
אשדוד 282,"לכיש,בית גוברין,בית ניר,גלאון",45 שניות
אשקלון 234,"שדה ניצן,תלמי אליהו,אוהד,צוחר",15 שניות
אשקלון 238,"בני נצרים,שלומית,נווה",15 שניות
אשקלון 245,"ניצן,ניצן ב',ניצנים",45 שניות
אשקלון 246,"אשקלון,באר גנים",30 שניות
אשקלון 248,"כפר סילבר,ברכיה,הודיה,ניר ישראל,משען",30 שניות
אשקלון 249,"שדה יואב,עוצם,יד נתן,נהורה,נוגה,שחר,כוכב מיכאל,זוהר,נגבה,ניר ח""ן",30 שניות
אשקלון 250,"תלמי יפה,גיאה,בית שיקמה,מבקיעים,בת הדר",15 שניות
אשקלון 251,"ברור חיל,תלמים,שדה דוד,חלץ",15 שניות
אשקלון 252,"רוחמה,דורות,חוות שיקמים",30 שניות
אשקלון 253,"פעמי תש""ז,קלחים,מבועים,תלמי ביל""ו,שבי דרום,זרועה,ניר משה,יושיביה,שדה צבי,ניר עקיבא,אשבול",30 שניות
אשקלון 254,"בית הגדי,קרית חינוך שדות נגב,נתיבות",30 שניות
אשקלון 255,"מעגלים,גבעולים,תדהר,שרשרת,תאשור,ברוש,שיבולים,מלילות",30 שניות
אשקלון 256,"פטיש,אורים",30 שניות
אשקלון 257,"צאלים,גבולות",30 שניות
באר שבע 285,"שומריה,בית מירסים,אשכולות,אמציה,אל בירה בהר חברון,נטע,כרמי קטיף,כרם עמי,בני דקלים,בורג',שקף,בית א רוש אל פוקא",דקה
באר שבע 286,"א זיאדנה צפונית לרהט,רהט,תראבין א צאנה,הוזייל,א זיאדנה דרומית לרהט,משמר הנגב,שובל,להבים,גבעות בר,אל הייל,אל חוקוק,דבירה,כפר נוער עדנים,אל עתאיקה,להב,בית קמה,מפעלי אבשלום",45 שניות
באר שבע 288,"אופקים,אופקים,פדויים,רנן,מסלול",45 שניות
באר שבע 289,"גילת,בטחה,תפרח",45 שניות
באר שבע 292,"מסעודין אל עזאזמה,באר שבע",דקה
בית שמש 188,"צלפון,צרעה,מחסיה,טל שחר,בקוע,אשתאול,בית שמש,פארק צרעה,בית ג'מאל,גבעת שמש,דייר ראפאת,נחשון,זנוח,גבעות עדן,אדרת,כפר אוריה,נתיב הל""ה,מסילת ציון,אביעזר,ישעי,מנזר לטרון,גיזו,נחם,נווה שלום,תרום,תעוז,רוגלית,נווה מיכאל,הראל",דקה וחצי
בית שמש 189,"שורש,רמת רזיאל,בית מאיר,שואבה,כסלון,קרית יערים,גבעת יערים,אבו גוש,נטף,נס הרים,יד השמונה,מטע,בר גיורא,עין נקובא,עין ראפה,ידידה,נווה אילן,איתנים",דקה וחצי
בית שמש 190,"מבשרת ציון,בית סוריכ,בידו,צובה,בית נקופה,בית זית,מעלה החמישה,הר אדר,מוצא עילית,קרית ענבים",דקה וחצי
בית שמש 191,"צור הדסה,מבוא ביתר,עמינדב,אורה,אבן ספיר",דקה וחצי
בקעה 130,"ארגמן,תל אל בידה,מכורה,תל א שמסיה,משכיות,רועי,מחולה,רותם,פרוש בית דג'ן,ברדלה,בקעות,שדמות מחולה,זובידאת,מרג' נעג'ה,חמדת,ח'לת אל פולה,פארעה אל ג'פתלכ,חמרה,עאטוף",דקה וחצי
בקעה 131,"משואה,שלומציון,גיתית,יפית",דקה וחצי
בקעה 132,"מוע'ייר,עין מע'ר,פצאל,פסאיל,תומר,דומא,נירן,נעמי,נתיב הגדוד,עוג'א אתחתא,גלגל,ייט""ב,מעלה אפרים",דקה וחצי
בקעה 133,"נועימה מחנה פליטים,גבע בנימין,עקאבת ג'בר מחנה פליטים,מצפה יריחו,ורד יריחו,נועימה,נח""ל אלישע,מעלה מכמש,עלמון,עין א סולטאן מחנה פליטים,קליה,מבואות יריחו,אלון,רימונים,יריחו,כפר אדומים,אלמוג,כוכב השחר,בית הערבה",דקה וחצי
בקעת בית שאן 128,"שלוחות,ניר דוד,גשר,אזור תעשיות צבאים,חפצי בה,כפר רופין,אחוזת שושנה,ביכורה,שדי תרומות,שדה נחום,חמדיה,מולדת,ירדנה,בית שאן,רשפים,מפעלי שאן,מעלה גלבוע,מעוז חיים,רחוב,רוויה,מסילות,מלכישוע,חוות דושן,חוות שפעה,עין הנצי""ב,מירב,שדה אליהו,חוות עדן,בית השיטה,בית יוסף,תל תאומים,בית אלפא,טירת צבי,נווה אור,נווה איתן",דקה
גולן 1,"אל רום,אודם,מג'דל שמס,בוקעתא,נמרוד,עין קנייא,נווה אטי""ב,מסעדה",מיידי
גולן 2,"רמת מגשימים,אפיק,גבעת יואב,אלי עד,נוב,נאות גולן,מבוא חמה,חמת גדר,נטור,כפר חרוב,בני יהודה,אבני איתן,חספין,גשור,אזור תעשייה בני יהודה,מיצר",מיידי
גולן 3,"מרום גולן,אורטל,יונתן,עין זיוון,קשת,אלוני הבשן",מיידי
גליל עליון 35,"לוחמי הגיטאות,רגבה,מזרעה",30 שניות
